found_name,correct_name
"MARITZ, INC",MARITZ INC.
MARYVILLE UNIVERSITY,MARYVILLE UNIVERSITY OF SAINT LOUIS
MARYVILLE UNIVERSITY IN ST. L. OUIS,MARYVILLE UNIVERSITY OF SAINT LOUIS
"MARYVILLE UNIVERSITY, ST. LOUIS",MARYVILLE UNIVERSITY OF SAINT LOUIS
MASTERCARD INTERNATIONAL,MASTERCARD WORLDWIDE
MERCY,MERCY CLINIC
MERCY - JOPLIN,MERCY CLINIC
MERCY CLINIC JOPLIN,MERCY CLINIC
MERCY CLINIC PEDIATRICS WHITE SIDE,MERCY CLINIC
MERCY CLINIC SPRINGFIELD,MERCY CLINIC
MERCY CLINICS,MERCY CLINIC
MERCY CORPS,MERCY CLINIC
MERCY EAST HOSPITAL,MERCY CLINIC
MERCY HEALTH,MERCY CLINIC
"MERCY HEALTH SERVICES, LLC",MERCY CLINIC
MERCY HEALTH SYSTEM,MERCY CLINIC
MERCY HEALTH SYSTEMS,MERCY CLINIC
MERCY HEALTH/MTS,MERCY CLINIC
MERCY HOSP,MERCY CLINIC
MERCY HOSPITAL,MERCY CLINIC
MERCY HOSPITAL SPRINGFIELD MO,MERCY CLINIC
MERCY HOSPITAL WASHINGTON,MERCY CLINIC
MERCY MEDICAL CENTER,MERCY CLINIC
MERCY MEDICAL GROUP,MERCY CLINIC
MERCY MEDICAL HOSPITAL,MERCY CLINIC
MERCY PHYSICIANS AND CLINICS,MERCY CLINIC
MERCY SPRINGFIELD,MERCY CLINIC
MERCY ST JOHN'S,MERCY CLINIC
MERCY ST. JOHNS CLINICS,MERCY CLINIC
METROPOLITAN COMMUNITY  COLLEGE-PENN V,METROPOLITAN COMMUNITY COLLEGE
METROPOLITAN COMMUNITY COLLEGE-PENN V,METROPOLITAN COMMUNITY COLLEGE
METROPOLITAN COMMUNITY COLLEGES,METROPOLITAN COMMUNITY COLLEGE
METROPOLITIAN CC,METROPOLITAN COMMUNITY COLLEGE
MISSOURI ATTORNEY GENERAL'S OFFICE,MISSOURI ATTORNEY GENERAL
MISSOURI DEPARTMENT OF CORRECTIONS,STATE OF MISSOURI
MISSOURI DEPARTMENT OF LABOR,STATE OF MISSOURI
MISSOURI DEPARTMENT OF MENTAL HEALT,STATE OF MISSOURI
MISSOURI DEPARTMENT OF MENTAL HEALTH,STATE OF MISSOURI
MISSOURI DEPARTMENT OF NATURAL RESOURC,STATE OF MISSOURI
MISSOURI DEPARTMENT OF PUBLIC SAFETY,STATE OF MISSOURI
MISSOURI DEPT OF AGRICULTURE,STATE OF MISSOURI
MISSOURI DEPT OF CONSERVA,STATE OF MISSOURI
MISSOURI DEPT OF LABOR,STATE OF MISSOURI
MISSOURI DEPT. OF MENTAL HEALTH,STATE OF MISSOURI
MISSOURI DEPT. OF TRANSPORTATION,STATE OF MISSOURI
MISSOURI SOUTHER STATE UNIVERSITY,MISSOURI SOUTHERN STATE UNIVERSITY
MISSOURI SOUTHERN ST. UNIV.,MISSOURI SOUTHERN STATE UNIVERSITY
MISSOURI SOUTHERN STATE UNIV,MISSOURI SOUTHERN STATE UNIVERSITY
MISSOURI SOUTHERN STATE UNIVERSITY,MISSOURI SOUTHERN STATE UNIVERSITY
MISSOURI STATE UNIVE,MISSOURI STATE UNIVERSITY
MISSOURI STATE UNVIERSITY,MISSOURI STATE UNIVERSITY
MISSOURI UNIV. OF SCIENCE & TECHN,MISSOURI UNIVERSITY OF SCIENCE AND TEC
MISSOURI UNIV. OF SCIENCE & TECHNOLOGY,MISSOURI UNIVERSITY OF SCIENCE AND TEC
MISSOURI UNIV. SCI & TECH,MISSOURI UNIVERSITY OF SCIENCE AND TEC
MISSOURI UNIV. SCI. -- TECH,MISSOURI UNIVERSITY OF SCIENCE AND TEC
MISSOURI UNIVERSITY OF SCIENCE  TECHN,MISSOURI UNIVERSITY OF SCIENCE AND TEC
MISSOURI UNIVERSITY OF SCIENCE & TECHN,MISSOURI UNIVERSITY OF SCIENCE AND TEC
MISSOURI UNIVERSITY OF SCIENCE AND,MISSOURI UNIVERSITY OF SCIENCE AND TEC
MISSOURI UNIVERSITY OF SCIENCE TECHN,MISSOURI UNIVERSITY OF SCIENCE AND TEC
MO. SOUTHERN ST. U.,MISSOURI SOUTHERN STATE UNIVERSITY
MO. SOUTHERN ST. UNIV.,MISSOURI SOUTHERN STATE UNIVERSITY
MO. STATE UNIVERITY,MISSOURI STATE UNIVERSITY
MONSANDO CO,MONSANTO COMPANY
MONSANTO,MONSANTO COMPANY
MONSANTO CO,MONSANTO COMPANY
MONSANTO CO.,MONSANTO COMPANY
MONSATO CO.,MONSANTO COMPANY
MONSONTO,MONSANTO COMPANY
MONSSANT CO,MONSANTO COMPANY
N//A,N/A
NA,N/A
NATIONAL GEOSPATIAL-INTELLIGENCE AGENC,NATIONAL GEOSPATIAL INTELLIGENCE AGENC
NATIONAL GEOSPATIAL-INTELLIGENCE AGENT,NATIONAL GEOSPATIAL INTELLIGENCE AGENC
NATIONAL GEOSPATIAL-INTELLLIGENCE AGEN,NATIONAL GEOSPATIAL INTELLIGENCE AGENC
NESTLE,NESTLE PURINA
NESTLE PURINA PET,NESTLE PURINA
NESTLE PURINA PETCARE,NESTLE PURINA
NESTLE PURINA PETCARE CO,NESTLE PURINA
NESTLE PURINA PETCARE CO.,NESTLE PURINA
NESTLE PURINA PETCARE COMPANY,NESTLE PURINA
NESTLE/PURINA,NESTLE PURINA
NORTHWEST MISSOURI STATE  UNIVERSITY,MISSOURI STATE UNIVERSITY
NOT EMPLOYED BUT WANT TO BE,NOT EMPLOYED
NOT WORKING RIGHT NOW,NOT EMPLOYED
NOT-APPLICABLE,N/A
NOT-EMPLOYED,NOT EMPLOYED
OBVIOUS SYSTEMS LLC,OBVIOUS SYSTEMS LLC.
"PARAGON BUSINESS SOLUTIONS, INC.",PARAGON BUSINESS SOLUTIONS
PARKWAY SCHOOL DIST,PARKWAY SCHOOL DISTRICT
PARKWAY SCHOOL DISTRICT - CHESTERFIELD,PARKWAY SCHOOL DISTRICT
PARKWAY SCHOOLD DISTRICT,PARKWAY SCHOOL DISTRICT
PARKWAY SCHOOLS,PARKWAY SCHOOL DISTRICT
PCRMC,PCRMC MEDICAL GROUP
PCRMC-BOND CLINIC INC.,PCRMC MEDICAL GROUP
PEABODY ENERGY COMPANY,PEABODY ENERGY
PEABODY ENERGY CORPORATION,PEABODY ENERGY
PFIZER INC.,PFIZER
PFIZER PHARMACEUTICAL COMPANY,PFIZER
"PFIZER, INC.",PFIZER
PRICE WATER HOUSE COOPERS L.L.P.,PRICEWATER HOUSE COOPERS LLP
PRICEWATER HOUSE COOPERS L.L.P,PRICEWATER HOUSE COOPERS LLP
PRICEWATERHOUSE COOPERS,PRICEWATER HOUSE COOPERS LLP
PRICEWATERHOUSECOOPERS,PRICEWATER HOUSE COOPERS LLP
PRIMCE INC.,PRIME INC.
PRIME,PRIME INC.
PRIME INC,PRIME INC.
PWC,PRICEWATER HOUSE COOPERS LLP
RETIRED   (DON'T FORGET TO SEND ME THE,RETIRED
RETIRED -- UMKC,RETIRED
RETIRED (BOEING),RETIRED
RETIRED .,RETIRED
RETIRED ARMY OFFICERS,RETIRED
RETIRED AT&T,RETIRED
RETIRED ATTORNEY,RETIRED
RETIRED COMBAT LEADER,RETIRED
RETIRED DENTIST,RETIRED
RETIRED EDUCATOR,RETIRED
RETIRED FEDERAL EMPLOYEE,RETIRED
RETIRED FROM FEDERAL SERVICE,RETIRED
RETIRED FROM IRS,RETIRED
RETIRED FROM MO. DEPT. OF MENTAL HEALT,RETIRED
RETIRED GM,RETIRED
RETIRED HIGH SCHOOL TEACHER R-7,RETIRED
RETIRED JEWELRY DESIGNER,RETIRED
RETIRED MASTERCARD EXECUTIVE,RETIRED
RETIRED NAVAL OFFICER,RETIRED
RETIRED NURSE,RETIRED
RETIRED TEACHER,RETIRED
RETIRED TEACHER OF THE DEAF,RETIRED
RETIRED UNITED AIRLLINES,RETIRED
RETIRED US ARMY,RETIRED
RETIRED USGS,RETIRED
RETIRED USPS,RETIRED
"RETIRED, GENERAL DYNAMICS",RETIRED
"RETIRED, GENERAL MOTORS",RETIRED
"RETIRED, US ARMY",RETIRED
"RETIRED, USPS",RETIRED
RETIRED:US DEPT OF ED,RETIRED
RETIRED-EDUCATOR,RETIRED
RGA,RGA REINSURANCE COMPANY
RGA REINSURANCE CO.,RGA REINSURANCE COMPANY
"RX OUTREACH, INC.",RX OUTREACH
SAINT LOUIS CHILDREN'S HOSPITAL,ST. LOUIS CHILDREN'S HOSPITAL
SAINT LOUIS COMMUNITY COLLEGE,ST. LOUIS COMMUNITY COLLEGE
SAINT LOUIS PUBLIC SCHOOLS,ST. LOUIS PUBLIC SCHOOLS
SAINT LOUIS UNIV SCHOOL OF PUBLIC HEAL,SAINT LOUIS UNIVERSITY
SAINT LOUIS UNIVERSI,SAINT LOUIS UNIVERSITY
SAINT LOUIS UNIVERSITY HOSPITAL,SAINT LOUIS UNIVERSITY
SAINT LOUIS UNIVERSITY MEDICAL CENTER,SAINT LOUIS UNIVERSITY
SAINT LOUIS UNIVERSITY SCHOOL OF LAW,SAINT LOUIS UNIVERSITY
SAINT LOUIS UNIVERSITY SCHOOL OF MEDIC,SAINT LOUIS UNIVERSITY
SAINT LOUIS UNIVERSITY SCHOOL OF NURSI,SAINT LOUIS UNIVERSITY
"SCHOOL DISTRICT OF UNIVERSITY CITY, MI",SCHOOL DIST. OF UNIVERSITY CITY
SEARS HOLDINGS CORP.,SEARS
SEL,SELF-EMPLOYED
SELF,SELF-EMPLOYED
SELF - BARB RAND,SELF-EMPLOYED
SELF - BELTON ANIMAL CLINIC AND EXOTIC,SELF-EMPLOYED
SELF - PHYSICIAN RECUITER,SELF-EMPLOYED
SELF - RIESER FAMILY DENTAL LLC,SELF-EMPLOYED
SELF - WWWKCWEEDCOM,SELF-EMPLOYED
SELF & IL ARMY NATIONAL GUARD,SELF-EMPLOYED
SELF 45 YEARS,SELF-EMPLOYED
SELF DBA RE/MAX,SELF-EMPLOYED
SELF EMP.,SELF-EMPLOYED
SELF EMPLOYED,SELF-EMPLOYED
SELF EMPLOYED  GREEN DESIGN/BUILD,SELF-EMPLOYED
SELF EMPLOYED -- GREEN DESIGN/BUILD,SELF-EMPLOYED
SELF EMPLOYED - RENTAL PROPERTY,SELF-EMPLOYED
SELF EMPLOYED - RFT ROADE FREIGHT TRAN,SELF-EMPLOYED
SELF EMPLOYED (HERMAN JOHNSON LLC),SELF-EMPLOYED
SELF EMPLOYED (SMALL BUSINESS OWNER),SELF-EMPLOYED
SELF EMPLOYED AGENT,SELF-EMPLOYED
SELF EMPLOYED AT FRED SPARKS,SELF-EMPLOYED
SELF EMPLOYED: CO-OWNER INTEGRITY ATHL,SELF-EMPLOYED
SELF EMPLOYEED,SELF-EMPLOYED
SELF EMPOLYED,SELF-EMPLOYED
SELF GREENFIELD DENTAL,SELF-EMPLOYED
SELF MAIN STREET BOOKS,SELF-EMPLOYED
SELF-- PRIVATE PRACTICE,SELF-EMPLOYED
SELF- WILDWOD DANCE & ARTS,SELF-EMPLOYED
"SELF, C./O. THE MAUNE CO.MPAMY",SELF-EMPLOYED
SELF/SURGEON,SELF-EMPLOYED
SELF; KU MEDICAL CENTER,SELF-EMPLOYED
SELF-EMPLOYED - REAL ESTATE,SELF-EMPLOYED
SELF-EMPLOYED - SEVEN GROUP PROPERTIES,SELF-EMPLOYED
SELF-EMPLOYED (DBA BRIMSON LABORATORIE,SELF-EMPLOYED
SELF-EMPLOYED (RETIRED),SELF-EMPLOYED
SELF-EMPLOYED D.,SELF-EMPLOYED
SELF-EMPLOYED PRIVATE PRACTICE,SELF-EMPLOYED
"SELF-EMPLOYED, REAL ESTATE",SELF-EMPLOYED
SELF-EMPLOYED/PSYCHOLOGICAL NETWORK,SELF-EMPLOYED
SELF-EMPLOYED/RETIRED,SELF-EMPLOYED
SELF-EMPLOYED/THE POLISHED EDGE FINE J,SELF-EMPLOYED
SELF-EMPLOYEED,SELF-EMPLOYED
SELF-EMPOLYED,SELF-EMPLOYED
SELF-NONE,SELF-EMPLOYED
SELF-PROPRIETOR,SELF-EMPLOYED
SOCIAL SECURITY,SOCIAL SECURITY ADMINISTRATION
SOCIAL SECURITY ADM,SOCIAL SECURITY ADMINISTRATION
SOCIAL SECURITY ADM.,SOCIAL SECURITY ADMINISTRATION
SOCIAL SECURITY ADMIN,SOCIAL SECURITY ADMINISTRATION
SOCIAL SECURITY ADMIN.,SOCIAL SECURITY ADMINISTRATION
SOCIAL SECURITY ADMINISTRATOR,SOCIAL SECURITY ADMINISTRATION
SOCIAL SECURITY DISABILITY,SOCIAL SECURITY ADMINISTRATION
SOUTHEAST MISSOURI STATE UNIV.,MISSOURI STATE UNIVERSITY
SOUTHEAST MO STATE UNIVERSITY,MISSOURI STATE UNIVERSITY
SPECIAL SCHOOL DIST ST.,SPECIAL SCHOOL DISTRICT OF ST. LOUIS
SPECIAL SCHOOL DIST. OF ST,SPECIAL SCHOOL DISTRICT OF ST. LOUIS
SPECIAL SCHOOL DISTRCT,SPECIAL SCHOOL DISTRICT OF ST. LOUIS
SPECIAL SCHOOL DISTRIC OF ST. LOUIS CO,SPECIAL SCHOOL DISTRICT OF ST. LOUIS
SPECIAL SCHOOL DISTRICT,SPECIAL SCHOOL DISTRICT OF ST. LOUIS
SPECIAL SCHOOL DISTRICT - ST. LOUIS CO,SPECIAL SCHOOL DISTRICT OF ST. LOUIS
SPECIAL SCHOOL DISTRICT OF ST. LOUIS C,SPECIAL SCHOOL DISTRICT OF ST. LOUIS
SPRINT,SPRINT NEXTEL
SPRINT NEXTEL CORP.,SPRINT NEXTEL
SPRINT TELECOMMUNICATIONS,SPRINT NEXTEL
SPRINT-NEXTEL,SPRINT NEXTEL
SSM,SSM MEDICAL GROUP
SSM CANCER CARE,SSM MEDICAL GROUP
SSM CARDINAL GLENNON CHILDRENS HEALTH,SSM MEDICAL GROUP
SSM DEPAUL HEALTH CENTER,SSM MEDICAL GROUP
