found_name,correct_name,notes
VLG OF LOCH LLOYD,VILLAGE OF LOCH LL,
WEBSTER GRVS,WEBSTER GROVES,
WIILDWOOD,WILDWOOD,
BRLNGTON JCTN,BURLINGTON JUNCTION,
BRLNGTON JCTN.,BURLINGTON JUNCTION,
BURLINGTON JUNCTIO,BURLINGTON JUNCTION,
RICHMOND HTS,RICHMOND HEIGHTS,
WTHRBY LAKE,WEATHERBY LAKE,
WILLOW SPGS,WILLOW SPRINGS,
OFALLON,O FALLON,
N KANSAS CITY,KANSAS CITY,
MTN GROVE,MOUNTAIN GROVE,
MOUNTAIN GRV,MOUNTAIN GROVE,
LOWY CITY,LOWRY CITY,
LANE SAINT LOUIS,SAINT LOUIS,
BOIS D ARC,DES ARC,
BLACK,BLACK JACK,
AFFTON,SAINT LOUIS,census-designated place (CDP)
CONCEPTION,CONCEPTION JUNCTION,
CREVE CEOUR,CREVE COEUR,
CPE GIRARDEAU,CAPE GIRARDEAU,
CAPE GIRADEAU,CAPE GIRARDEAU,
MT. VERNON,MOUNT VERNON,
MILLERSVILLE,MILLER,
MERRIAM VLG,MERRIAM WOODS,
BARNHART,JEFFERSON CITY,census-designated place (CDP)
CEDAR HILL,JEFFERSON CITY,"census-designated place (CDP) in Jefferson County, Missouri"
DESOTO,JEFFERSON CITY,"city in Jefferson County, Missouri, United States"
SAINT CLAIRE,SAINT CLAIR,
SAINT LOIUS,SAINT LOUIS,
SAINT LOUISE,SAINT LOUIS,
SAINT LOUIW,SAINT LOUIS,
SAINT LUOIS,SAINT LOUIS,
SANIT LOUIS,SAINT LOUIS,
NEW BLOOMFLD,NEW BLOOMFIELD,
SAINTE GENEVIEVE,SAINT GENEVIEVE,
SO. LACLEDE STA. R,LACLEDE,
STE GENEVIEVE,SAINT GENEVIEVE,
SAINT COVIS,SAINT LOUIS,
CRECE. COEUR,CREVE COEUR,
JEFFERSON,JEFFERSON CITY,
ROCK HIL,ROCK HILL,
ST.  LOUIS,SAINT LOUIS,
LAKE ST LOUIS,LAKE SAINT LOUIS,
CLIMAX SPRGS,CLIMAX SPRINGS,
MISSOURI,MISSOURI CITY,
